upper,upper_loc,lower,lower_loc,symb,symb_loc
A,_65,a,_97,!,_33
B,_66,b,_98,"""",_34
C,_67,c,_99,#,_35
D,_68,d,_100,$,_36
E,_69,e,_101,%,_37
F,_70,f,_102,&,_38
G,_71,g,_103,',_39
H,_72,h,_104,(,_40
I,_73,i,_105,),_41
J,_74,j,_106,*,_42
K,_75,k,_107,+,_43
L,_76,l,_108,",",_44
M,_77,m,_109,-,_45
N,_78,n,_110,.,_46
O,_79,o,_111,/,_47
P,_80,p,_112,:,_58
Q,_81,q,_113,;,_59
R,_82,r,_114,<,_60
S,_83,s,_115,=,_61
T,_84,t,_116,>,_62
U,_85,u,_117,?,_63
V,_86,v,_118,@,_64
W,_87,w,_119,[,_91
X,_88,x,_120,\,_92
Y,_89,y,_121,],_93
Z,_90,z,_122,^,_94
,,,,_,_95
,,,,`,_96
,,,,{,_123
,,,,|,_124
,,,,},_125
